,Event Link,Talk Title,Talk Speaker
0,https://socialdatascience.network/fall2023/sess4.html,Welcome Introduction ,"Dr. Ghita Berrada, LSE"
1,https://socialdatascience.network/fall2023/sess4.html,Seminar Session ,"Dr. Divya Srivastava, LSE"
2,https://socialdatascience.network/fall2023/sess4.html,Research Discussion. ,Lead Institution
3,https://socialdatascience.network/fall2023/sess4.html,Announcement ,
4,https://socialdatascience.network/fall2023/sess3.html,Welcome Introduction ,"Prof. Petra Novak, CEU"
5,https://socialdatascience.network/fall2023/sess3.html,Seminar Session ,"Prof. Elisa Omodei, CEU"
6,https://socialdatascience.network/fall2023/sess3.html,Research Discussion. ,Lead Institution
7,https://socialdatascience.network/fall2023/sess3.html,Announcement ,
8,https://socialdatascience.network/fall2023/sess2.html,Welcome Introduction ,"Prof. Nicolo' Cavalli, Bocconi"
9,https://socialdatascience.network/fall2023/sess2.html,Seminar Session ,Vincent Philipp Marohl (Columbia University) & Moritz Pfeifer (Leipzig University) 
10,https://socialdatascience.network/fall2023/sess2.html,Research Discussion. ,Lead Institution
11,https://socialdatascience.network/fall2023/sess2.html,Announcement ,
12,https://socialdatascience.network/fall2023/sess1.html,Welcome Introduction ,"Dr. Ghita Berrada, LSE"
13,https://socialdatascience.network/fall2023/sess1.html,Seminar Session ,Dr. Max Falkenberg 
14,https://socialdatascience.network/fall2023/sess1.html,Research Discussion. ,Lead Institution
15,https://socialdatascience.network/fall2023/sess1.html,Announcement ,
16,https://socialdatascience.network/spring2023/sess7.html,Welcome Introduction ,"Prof. Nicolo' Cavalli, Bocconi University"
17,https://socialdatascience.network/spring2023/sess7.html,Seminar Session ,"Dr. Eleonora Bertoni, European Commmission"
18,https://socialdatascience.network/spring2023/sess7.html,Research Discussion. ,Lead Institution
19,https://socialdatascience.network/spring2023/sess7.html,Announcement ,
20,https://socialdatascience.network/spring2023/sess6.html,Welcome Introduction ,"Prof. Petra Kralj Novak, CEU "
21,https://socialdatascience.network/spring2023/sess6.html,Seminar Session ,"Prof. Giacomo Calzolari, European University Institute"
22,https://socialdatascience.network/spring2023/sess6.html,Research Discussion. ,Lead Institution
23,https://socialdatascience.network/spring2023/sess6.html,Announcement ,
24,https://socialdatascience.network/spring2023/sess5.html,Welcome Introduction ,"Dr. Pedro Ramaciotti Morales, Sciences Po "
25,https://socialdatascience.network/spring2023/sess5.html,Seminar Session ,"Prof. Pablo Barberá, Meta & University of Southern California"
26,https://socialdatascience.network/spring2023/sess5.html,Research Discussion. ,Lead Institution
27,https://socialdatascience.network/spring2023/sess5.html,Announcement ,
28,https://socialdatascience.network/spring2023/sess4.html,Welcome Introduction ,"Dr. Erica Thompson, LSE"
29,https://socialdatascience.network/spring2023/sess4.html,Seminar Session ,"Prof. Bryce Jensen Dietrich, Purdue University"
30,https://socialdatascience.network/spring2023/sess4.html,Research Discussion. ,Lead Institution
31,https://socialdatascience.network/spring2023/sess4.html,Announcement ,
32,https://socialdatascience.network/spring2023/sess3.html,Welcome Introduction ,"Prof. Ken Benoit, LSE"
33,https://socialdatascience.network/spring2023/sess3.html,Seminar Session ,"Dr. Erica Thompson, LSE"
34,https://socialdatascience.network/spring2023/sess3.html,Research Discussion. ,Lead Institution
35,https://socialdatascience.network/spring2023/sess3.html,Announcement ,
36,https://socialdatascience.network/polarisation/2023.html,Welcoming address,
37,https://socialdatascience.network/polarisation/2023.html,Keynote: Polarisation and the challenges to democracy,
38,https://socialdatascience.network/polarisation/2023.html,Polarisation and culture session,
39,https://socialdatascience.network/polarisation/2023.html,European Polarisation Observatory: understanding multidimensional polarisation in France online social networks,
40,https://socialdatascience.network/polarisation/2023.html,Data driven approaches for polarisation session,
41,https://socialdatascience.network/polarisation/2023.html,Polarisation and democracy session,
42,https://socialdatascience.network/polarisation/2023.html,Closing remarks: towards an European Polarisation Observatory,
43,https://socialdatascience.network/spring2023/sess2.html,Welcome Introduction ,"Prof. Nicolo' Cavalli, Bocconi"
44,https://socialdatascience.network/spring2023/sess2.html,Seminar Session ,"Prof. Aniko Hannak, University of Zurich "
45,https://socialdatascience.network/spring2023/sess2.html,Research Discussion. ,Lead Institution
46,https://socialdatascience.network/spring2023/sess2.html,Announcement ,
47,https://socialdatascience.network/spring2023/sess1.html,Welcome Introduction ,"Prof. Ken Benoit, LSE"
48,https://socialdatascience.network/spring2023/sess1.html,Seminar Session ,Pica Johansson 
49,https://socialdatascience.network/spring2023/sess1.html,Research Discussion. ,Lead Institution
50,https://socialdatascience.network/spring2023/sess1.html,Announcement ,
