id,name,character(s),role,movie_id,movie_title
3748,Robert De Niro,Travis Bickle,ACTOR,tm84618,Taxi Driver
14658,Jodie Foster,Iris Steensma,ACTOR,tm84618,Taxi Driver
7064,Albert Brooks,Tom,ACTOR,tm84618,Taxi Driver
3739,Harvey Keitel,Matthew 'Sport' Higgins,ACTOR,tm84618,Taxi Driver
48933,Cybill Shepherd,Betsy,ACTOR,tm84618,Taxi Driver
32267,Peter Boyle,Wizard,ACTOR,tm84618,Taxi Driver
519612,Leonard Harris,Senator Charles Palantine,ACTOR,tm84618,Taxi Driver
29068,Diahnne Abbott,Concession Girl,ACTOR,tm84618,Taxi Driver
519613,Gino Ardito,Policeman at Rally,ACTOR,tm84618,Taxi Driver
3308,Martin Scorsese,Passenger Watching Silhouette,ACTOR,tm84618,Taxi Driver
43791,Murray Moston,Iris' Time Keeper,ACTOR,tm84618,Taxi Driver
519614,Richard Higgs,Secret Service Agent,ACTOR,tm84618,Taxi Driver
519615,Bill Minkin,Tom's Assistant (uncredited),ACTOR,tm84618,Taxi Driver
82426,Bob Maroff,Mafioso (uncredited),ACTOR,tm84618,Taxi Driver
20935,Victor Argo,"Melio, Delicatessen Owner",ACTOR,tm84618,Taxi Driver
7753,Joe Spinell,Personell Officer,ACTOR,tm84618,Taxi Driver
43279,Robinson Frank Adu,Angry Black Man (uncredited),ACTOR,tm84618,Taxi Driver
519616,Brenda Dickson,Soap Opera Woman (uncredited),ACTOR,tm84618,Taxi Driver
8424,Norman Matlock,Charlie T,ACTOR,tm84618,Taxi Driver
20447,Harry Northup,Doughboy,ACTOR,tm84618,Taxi Driver
519618,Harlan Cary Poe,Campaign Worker (uncredited),ACTOR,tm84618,Taxi Driver
49567,Steven Prince,Andy - Gun Salesman,ACTOR,tm84618,Taxi Driver
15551,Peter Savage,The John,ACTOR,tm84618,Taxi Driver
475303,Nicholas Shields,Palantine's Aide (uncredited),ACTOR,tm84618,Taxi Driver
43540,Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR,tm84618,Taxi Driver
466061,Annie Gagen,Campaign Worker (uncredited),ACTOR,tm84618,Taxi Driver
212023,Carson Grant,Political rallier (uncredited),ACTOR,tm84618,Taxi Driver
5367,Mary-Pat Green,Campaign Aide (uncredited),ACTOR,tm84618,Taxi Driver
17421,Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR,tm84618,Taxi Driver
38141,Don Stroud,Policeman (uncredited),ACTOR,tm84618,Taxi Driver
811415,Copper Cunningham,Hooker in Cab,ACTOR,tm84618,Taxi Driver
1141852,Garth Avery,Iris' friend,ACTOR,tm84618,Taxi Driver
1662310,Nat Grant,Stick-aup Man,ACTOR,tm84618,Taxi Driver
1393387,Billie Perkins,Iris' Friend (uncredited),ACTOR,tm84618,Taxi Driver
9446,Catherine Scorsese,Iris' Mother (newspaper article) (uncredited),ACTOR,tm84618,Taxi Driver
9451,Charles Scorsese,Iris' Father (newspaper article) (uncredited),ACTOR,tm84618,Taxi Driver
3308,Martin Scorsese,,DIRECTOR,tm84618,Taxi Driver
10103,Jon Voight,Ed Gentry,ACTOR,tm154986,Deliverance
13020,Burt Reynolds,Lewis Medlock,ACTOR,tm154986,Deliverance
6639,Ned Beatty,Bobby Trippe,ACTOR,tm154986,Deliverance
11224,Ronny Cox,Drew Ballinger,ACTOR,tm154986,Deliverance
24509,Ed Ramey,Old Man at the Gas-Station,ACTOR,tm154986,Deliverance
80069,Billy Redden,Lonnie - The Banjo Boy,ACTOR,tm154986,Deliverance
84032,Seamon Glass,First Griner,ACTOR,tm154986,Deliverance
84031,Randall Deal,Second Griner,ACTOR,tm154986,Deliverance
7918,Bill McKinney,Mountain Man,ACTOR,tm154986,Deliverance
197405,Herbert 'Cowboy' Coward,Toothless Man,ACTOR,tm154986,Deliverance
618692,Lewis Crone,First Deputy,ACTOR,tm154986,Deliverance
