id,country,htap_region,climatic_zone,lon,lat,alt,relative_alt,type,type_of_area,water_25km,evergreen_needleleaf_forest_25km,evergreen_broadleaf_forest_25km,deciduous_needleleaf_forest_25km,deciduous_broadleaf_forest_25km,mixed_forest_25km,closed_shrublands_25km,open_shrublands_25km,woody_savannas_25km,savannas_25km,grasslands_25km,permanent_wetlands_25km,croplands_25km,urban_and_built-up_25km,cropland-natural_vegetation_mosaic_25km,snow_and_ice_25km,barren_or_sparsely_vegetated_25km,wheat_production,rice_production,nox_emissions,no2_column,population_density,max_population_density_5km,max_population_density_25km,nightlight_1km,nightlight_5km,max_nightlight_25km,o3_average_values,o3_daytime_avg,o3_nighttime_avg,o3_median,o3_perc25,o3_perc75,o3_perc90,o3_perc98,o3_dma8eu,o3_avgdma8epax,o3_drmdmax1h,o3_w90,o3_aot40,o3_nvgt070,o3_nvgt100,dataset
3336,Germany,EUR,cool_moist,8.30821,54.92497,12,3,background,rural,86.1,0,0,0,0,0,0,0,0,0,4.8,1.8,4.6,0,1.1,0,0,0,0,0.672115,2.27,953,953,1017,46,20.73,56,33.405,34.7121,32.1032,35.3825,25.9166,41.2871,46.4399,54.8468,53.5738,38.8078,50.7704,86.1266,10197.4742,2,0,test
3338,Germany,EUR,cool_moist,12.72528,54.43667,1,1,background,rural,55.7,1.2,0,0,0,8.7,0,0,0,0,2.2,2.3,20.5,0,8.3,0,0,1.38,0,0.093612,2.31,349,386,6619,9,6.38,60,29.8555,32.2933,27.3245,30.2799,21.9242,37.6381,44.0575,53.7778,51.3996,35.8313,48.3935,69.0987,7573.2222,1,0,train
3339,Germany,EUR,cool_moist,6.093923,50.754704,205,66,background,urban,0,1.9,0,0,0,32.8,0,0,0,0,3.5,0,15.9,16.5,29.2,0,0,0.959,0,4.94152,7.06,14514,20125,26839,48,46.87,62,23.8597,28.0062,19.3949,23.8515,13.9652,32.0123,41.1803,58.4009,54.903,32.6169,49.8276,154.1263,8655.473,5.4,1,train
3340,Germany,EUR,cool_moist,8.548389,52.023169,102,29,background,urban,0,0,0,0,0,11.4,0,0,0,0,0,0,38.6,16.4,32.5,0,0,2.332,0,14.1422,5.23,16176,16191,16191,60,54.3,62,20.3253,23.9555,16.3471,19.8611,8.993,29.0232,38.173,53.5109,50.1112,28.6179,46.2694,120.2575,6036.5851,2.6,0,test
3341,Germany,EUR,cool_moist,6.874554,51.862,45,8,background,rural,0,0,0,0,0,18.5,0,0,0,0,0,0,15.2,9.8,55.4,0,0,2.954,0,2.20977,7.99,3566,3569,12635,48,24.14,58,21.4072,26.1913,16.186,20.5503,9.2702,30.4239,40.6623,58.4082,53.9564,31.0051,50.6809,203.4584,9045.4745,6.8,1.2,train
3342,Germany,EUR,cool_moist,6.976908,51.525963,40,6,industrial,urban,0,6.1,0,0,0,23.7,0,0,0,0,0,0,8.6,47.2,12.5,0,0,0.649,0,19.9934,10.48,20282,34286,39682,61,60.95,63,18.0448,22.6934,13.0997,16.3553,5.2517,26.9062,37.231,55.8005,51.2738,27.4605,48.0565,153.3345,6757.6233,4.6,1.2,train
3343,Germany,EUR,cool_moist,7.457463,51.536911,75,6,background,urban,0,1.9,0,0,0,23.7,0,0,0,0,0,0,20.8,41.1,11.7,0,0,2.183,0,17.1243,9.12,27057,27082,39682,62,59.77,63,18.4454,23.0504,13.5261,17.3357,5.6283,27.3716,37.5838,54.9521,51.6098,27.8689,47.1378,117.0353,6523.5505,3.4,0.8,train
3344,Germany,EUR,warm_moist,6.748402,51.524022,28,2,industrial,urban,0,6,0,0,0,17.1,0,0,0,0,0,0,20.5,34.7,20.1,0,0,3.593,0,20.3847,11.15,26631,26864,36502,61,58.4,63,18.4592,22.9733,13.3322,16.6142,5.6245,27.5869,37.9705,56.2024,51.5236,27.7559,48.3247,158.8097,6948.9594,5,0.8,train
3345,Germany,EUR,warm_moist,6.732383,51.249211,32,5,background,urban,0,3.6,0,0,0,11.9,0,0,0,0,0,0,27.5,48.2,7.2,0,0,1.387,0,43.8791,11.47,29515,34528,34559,63,61.25,63,18.4237,22.6897,13.8022,16.8538,5.7618,27.3704,37.3927,55.1806,50.7478,27.5698,47.3317,152.3359,6353.4955,3.8,0.4,train
3346,Germany,EUR,cool_moist,6.965643,51.406968,153,87,background,suburban,0,6.8,0,0,0,23.1,0,0,0,0,0,0,7.6,53.4,7.4,0,0,4.016,0,12.8782,10.4,34349,34349,39682,57,53.87,63,18.9606,20.9744,16.8135,17.1343,8.0959,26.2962,37.1349,57.2116,51.7109,26.1019,45.0343,184.0593,6382.771,4.6,1,train
3347,Germany,EUR,cool_moist,6.873789,50.876121,90,20,industrial,suburban,0,1.4,0,0,0,13.9,0,0,0,0,0,0,32.7,47.3,4,0,0,5.025,0,6.39128,9.03,9046,13039,31661,58,54.24,63,20.9024,24.9496,16.515,20.2339,9.137,29.599,39.1284,58.2244,53.9169,29.7948,49.6037,200.6776,7892.8382,6,0.6,train
3348,Germany,EUR,warm_moist,6.640242,51.337669,32,5,background,urban,0,4.9,0,0,0,10.2,0,0,0,0,0,0,29.3,42.4,12.2,0,0,6.621,0,12.121,11.79,16721,22153,36502,55,54.69,63,19.5372,23.9359,14.7759,18.1224,6.6135,28.6885,38.8913,58.3668,54.0605,29.0637,49.7432,206.7036,7986.6894,6,0.8,train
3349,Germany,EUR,warm_moist,6.884636,51.019345,45,8,background,urban,0,2.1,0,0,0,17.4,0,0,0,0,0,0,20.3,53.9,5.7,0,0,3.359,0,14.0658,10.77,31576,31605,34559,56,52.97,63,18.7799,23.6284,13.4912,17.3773,5.523,28.0638,38.2104,57.9744,53.5189,28.8,49.2305,188.8115,7661.8678,6.4,0.8,train
3350,Germany,EUR,warm_moist,6.985164,50.889814,45,7,background,suburban,0,1.5,0,0,0,22.1,0,0,0,0,0,0,21.4,47,7.6,0,0,4.028,0,55.761,8.88,31661,31661,31661,60,59.12,63,15.2657,20.1825,9.8451,12.239,2.5049,23.6252,34.5924,54.6052,50.1215,25.2948,45.346,167.7845,6076.3699,4.2,0.2,train
3351,Germany,EUR,cool_moist,7.005063,51.028879,50,9,background,suburban,0,2,0,0,0,30.5,0,0,0,0,0,0,9.6,47,9.9,0,0,2.483,0,18.8597,9.67,28743,31605,34559,61,57.44,63,15.9874,21.1085,10.4127,13.185,2.6036,24.6641,35.7887,55.5201,51.6911,26.1715,46.8485,153.751,6492.1602,3.4,0.8,train
3352,Germany,EUR,cool_moist,7.569838,51.592206,58,5,background,suburban,0,1.1,0,0,0,16.5,0,0,0,0,0,0,32.9,36.4,12.4,0,0,2.776,0,13.9379,7.95,26975,27057,38108,35,42.7,63,18.9295,24.2849,13.1523,17.7168,5.276,28.321,38.8914,55.9043,52.82,29.2932,48.4574,141.9811,7471.8102,4.4,0.8,train
3353,Germany,EUR,cool_moist,7.122713,51.69896,42,1,background,suburban,0,2,0,0,0,22.8,0,0,0,0,0,0,16,33.4,24.7,0,0,1.685,0,40.3277,9.97,10971,10981,39682,45,34.7,62,19.7127,24.9675,14.0232,18.7296,6.4153,28.9199,39.5833,57.7551,54.0034,29.9474,49.7162,195.5651,8302.5542,6,1.4,train
3354,Germany,EUR,warm_moist,6.42571,51.154614,78,21,background,suburban,0,0,0,0,0,8.1,0,0,0,0,1.8,0,49.8,29.8,9.9,0,0,5.039,0,7.56329,11.29,19925,19925,31437,56,48.48,63,18.8233,22.8003,14.5717,17.4789,7.0891,27.3102,37.236,55.6905,51.477,27.7791,47.6577,144.7293,6610.1581,4,0.4,test
3355,Germany,EUR,warm_moist,6.865107,51.45346,37,10,background,urban,0,6.6,0,0,0,19.4,0,0,0,0,0,0,12.1,49.4,10.5,0,0,0.016,0,15.3988,11.75,24526,36502,39682,63,61.81,63,18.2915,22.7082,13.7759,16.9064,5.5895,27.0437,37.3287,55.8636,51.741,27.3517,47.4335,165.6976,6695.1583,5.6,1.2,train
