id	truth_id	hashtag_id
1	18	1
4	21	2
5	37	3
6	37	4
7	54	5
8	81	6
9	82	7
10	100	8
11	107	9
12	108	10
13	112	11
14	115	7
15	319	12
16	448	13
17	520	14
18	578	15
19	578	14
20	796	15
21	946	16
22	1000	15
23	1143	14
24	1365	14
25	1438	17
26	1464	14
27	1477	14
28	1480	14
29	1535	18
30	1593	19
31	1593	20
32	1593	21
33	1666	22
34	1682	23
35	1682	24
36	1980	25
37	1980	26
38	1980	27
39	1980	28
40	1980	29
41	1982	29
42	1982	27
43	1982	30
44	1982	31
45	1982	26
46	1982	32
47	1982	33
48	1982	34
49	1982	35
50	1983	36
51	1983	37
52	1983	34
53	1983	31
54	2033	38
55	2163	39
56	2256	24
57	2280	40
58	2354	41
59	2531	42
60	2533	43
61	2565	44
62	2565	43
63	2565	19
64	2565	45
65	2565	46
66	2565	47
67	2565	48
68	2565	49
69	2565	50
70	2565	51
71	2565	52
72	2565	23
73	2565	38
74	2565	53
75	2633	54
76	2633	55
77	2635	56
78	2636	57
79	2636	58
80	2636	52
81	2636	59
82	2636	43
83	2640	60
84	2654	61
85	2656	62
86	2768	63
87	2772	64
88	2778	42
89	2786	65
90	2796	66
91	2796	67
92	2796	68
93	2796	40
94	2797	69
95	2797	70
96	2797	71
97	2797	72
98	2797	73
99	2798	74
100	2798	75
101	2801	74
102	2801	76
103	2802	74
104	2804	74
105	2804	77
106	2805	78
107	2805	74
108	2805	76
109	2805	79
110	2805	80
111	2805	81
112	2808	74
113	2808	76
114	2839	40
115	2841	40
116	2848	40
117	2861	82
118	2871	83
119	2871	84
120	2874	85
121	2874	43
122	2874	40
123	2928	43
124	2929	40
125	2975	86
126	3001	86
127	3008	87
128	3011	88
129	3014	43
130	3031	89
131	3031	90
132	3036	43
133	3037	91
134	3041	40
135	3044	92
136	3070	87
137	3070	93
138	3075	43
139	3081	94
140	3102	95
141	3162	40
142	3307	96
143	3310	97
144	3310	98
145	3310	99
146	3328	87
147	3337	100
148	3341	101
149	3357	102
150	3363	101
151	3367	43
152	3389	43
153	3415	103
154	3439	104
155	3439	96
156	3439	105
157	3447	106
158	3447	107
159	3448	108
160	3454	109
161	3454	110
162	3466	43
163	3471	111
164	3473	112
165	3473	108
166	3482	108
167	3487	108
168	3487	113
169	3487	114
170	3495	115
171	3499	49
172	3499	116
173	3499	117
174	3502	115
175	3506	118
176	3519	119
177	3524	43
178	3526	40
179	3530	40
180	3533	87
181	3546	101
182	3546	103
183	3562	40
184	3563	103
185	3563	120
186	3563	121
187	3563	122
188	3563	123
189	3564	118
190	3582	124
191	3583	125
192	3583	126
193	3583	124
194	3590	127
195	3597	87
196	3600	128
197	3600	129
198	3602	42
199	3603	130
200	3603	131
201	3603	132
202	3603	133
203	3604	87
204	3608	87
205	3611	134
206	3611	135
207	3611	136
208	3611	137
209	3611	138
210	3612	87
211	3616	87
212	3616	93
213	3617	87
214	3618	87
215	3621	87
216	3627	139
217	3627	140
218	3628	87
219	3629	87
220	3630	94
221	3631	141
222	3631	87
223	3635	101
224	3637	142
225	3644	87
226	3646	143
227	3646	118
228	3646	144
229	3646	145
230	3646	146
231	3647	101
232	3648	87
233	3651	87
234	3652	147
235	3653	103
236	3653	87
237	3654	40
238	3656	148
239	3657	87
240	3660	87
241	3661	87
242	3667	87
243	3668	87
244	3670	149
245	3670	150
246	3672	87
247	3673	87
248	3678	87
249	3680	151
250	3680	136
251	3680	40
252	3680	38
253	3680	52
254	3680	152
255	3687	42
256	3692	153
257	3705	154
258	3710	155
259	3710	156
260	3711	43
261	3714	157
262	3722	158
263	3722	159
264	3726	160
265	3730	161
266	3752	52
267	3755	162
268	3755	163
269	3758	164
270	3760	165
271	3763	166
272	3763	167
273	3802	168
274	3802	169
275	3804	162
276	3814	40
277	3883	42
278	3983	170
279	3983	171
280	3987	172
281	3987	173
282	3996	174
283	3997	175
284	3998	42
285	4000	176
286	4001	40
287	4008	177
288	4130	178
289	4130	179
290	4184	180
291	4185	181
292	4190	182
293	4190	183
294	4197	183
295	4197	182
296	4198	182
297	4198	183
298	4200	182
299	4200	183
300	4201	184
301	4201	182
302	4201	183
303	4203	182
304	4203	183
305	4215	181
306	4229	185
307	4232	181
308	4235	24
309	4235	23
310	4236	24
311	4236	23
312	4237	24
313	4237	23
314	4238	23
315	4238	24
316	4242	23
317	4244	186
318	4245	23
319	4249	185
320	4250	181
321	4253	180
322	4260	187
323	4261	187
324	4264	187
325	4273	188
326	4282	187
327	4285	189
328	4286	189
329	4287	180
330	4290	187
331	4296	187
332	4297	188
333	4299	187
334	4301	180
335	4304	187
336	4306	180
337	4308	187
338	4312	187
339	4321	187
340	4329	187
341	4330	187
342	4336	190
343	4338	187
344	4344	180
345	4346	85
346	4352	187
347	4353	24
348	4357	187
349	4360	187
350	4363	180
351	4376	187
352	4382	185
353	4382	191
354	4384	191
355	4386	187
356	4410	187
357	4415	192
358	4416	187
359	4421	187
360	4423	193
361	4430	187
362	4431	194
363	4433	187
364	4434	194
365	4445	187
366	4451	187
367	4454	187
368	4461	180
369	4462	187
370	4466	187
371	4470	180
372	4478	187
373	4490	187
374	4494	187
375	4497	189
376	4504	185
377	4506	180
378	4506	195
379	4507	190
380	4515	195
381	4515	196
382	4515	197
383	4515	180
384	4517	198
385	4523	199
386	4524	184
387	4525	184
388	4537	23
389	4544	200
390	4555	201
391	4559	181
392	4570	187
393	4586	181
394	4586	202
395	4595	203
396	4597	203
397	4610	204
398	4610	205
399	4610	206
400	4618	187
401	4631	206
402	4661	180
403	4664	206
404	4665	206
405	4673	187
406	4674	207
407	4680	185
408	4681	208
409	4681	190
410	4683	193
411	4685	188
412	4689	193
413	4704	193
414	4706	206
415	4710	23
416	4712	23
417	4713	187
418	4722	209
419	4722	210
420	4722	211
421	4722	212
422	4737	213
423	4737	214
424	4737	215
425	4738	193
426	4744	185
427	4746	188
428	4750	193
429	4751	216
430	4774	200
431	4777	206
432	4784	184
433	4787	217
434	4787	218
435	4787	219
436	4787	135
437	4787	44
438	4819	180
439	4834	193
440	4837	220
441	4846	181
442	4848	190
443	4850	203
444	4855	190
445	4855	181
446	4855	188
447	4855	180
448	4855	200
449	4855	185
450	4855	221
451	4856	190
452	4856	181
453	4856	188
454	4856	180
455	4856	200
456	4856	185
457	4856	221
458	4884	203
459	4886	222
460	4886	223
461	4887	188
462	4888	193
463	4897	193
464	4924	224
465	4926	225
466	4973	217
467	4973	226
468	4973	227
469	4973	228
470	4973	89
471	4990	217
472	4990	226
473	4990	227
474	4990	228
475	4990	89
476	4991	217
477	4991	226
478	4991	227
479	4991	228
480	4991	89
481	5022	206
482	5026	193
483	5037	217
484	5037	229
485	5037	230
486	5037	231
487	5047	193
488	5057	180
489	5061	43
490	5069	203
491	5071	232
492	5073	232
493	5073	233
494	5074	234
495	5076	184
496	5080	23
497	5086	24
498	5086	23
499	5088	23
500	5090	23
501	5090	24
502	5091	23
503	5094	23
