Country,ISO3,Date,Voter Turnout,Total Vote,Registration,VAP Turnout,Voting Age Population,Population,Invalid Votes,Compulsory Voting,dem_type
Afghanistan,AFG,2018‑10‑27,45.23,4000000,8843151,21.81,18340292,34940837,-,No,Parliamentary
Afghanistan,AFG,2010‑09‑18,35.14,4216594,12000000,29.71,14191908,29120727,4.42,No,Parliamentary
Afghanistan,AFG,2005‑09‑18,49.37,6406615,12977336,51.71,12389532,26334702,5.1,No,Parliamentary
Albania,ALB,2021‑04‑25,46.32,1662274,3588869,68.35,2432013,3088385,4.99,No,Parliamentary
Albania,ALB,2017‑07‑25,46.76,1614479,3452324,68.5,2356975,3047987,1.97,No,Parliamentary
Albania,ALB,2013‑06‑23,53.31,1744261,3271885,76.68,2274815,3011405,1.84,No,Parliamentary
Albania,ALB,2009‑06‑28,50.77,1566079,3084946,69.11,2266221,3194417,2.99,No,Parliamentary
Albania,ALB,2005‑07‑03,48.73,1389320,2850821,58.96,2356387,3563112,1.58,No,Parliamentary
Albania,ALB,2001‑07‑08,54.95,1373210,2499238,67.3,2040574,3490435,3.6,No,Parliamentary
Algeria,DZA,2021‑06‑12,23.03,5625324,24425187,19.53,28808723,43576691,18.18,No,Parliamentary
Algeria,DZA,2017‑05‑04,37.09,8624199,23251503,31.65,27248442,40969443,24.46,No,Parliamentary
Algeria,DZA,2012‑05‑10,43.14,9339026,21645841,38.7,24130650,35406303,-,No,Parliamentary
Algeria,DZA,2007‑05‑17,35.51,6662383,18760400,32.02,20806940,33333216,14.4,No,Parliamentary
Algeria,DZA,2002‑05‑30,46.17,8288536,17951127,45.08,18386639,31736053,10.5,No,Parliamentary
Andorra,AND,2023‑04‑02,66.93,20050,29958,27.75,72246,85468,4.38,No,Parliamentary
Andorra,AND,2019‑04‑07,68.33,18638,27278,26.19,71161,85684,4.59,No,Parliamentary
Andorra,AND,2015‑03‑01,65.62,16084,24512,22.97,70017,85458,8.17,No,Parliamentary
Andorra,AND,2011‑04‑03,74.12,16197,21852,23.38,69267,84825,4.24,No,Parliamentary
Andorra,AND,2009‑04‑26,75.34,15293,20298,25.98,58867,83888,0.89,No,Parliamentary
Andorra,AND,2005‑04‑24,80.38,12879,16022,21.02,61268,71201,0.9,No,Parliamentary
Andorra,AND,2001‑03‑04,81.64,10892,13342,15.94,68338,67627,5.7,No,Parliamentary
Angola,AGO,2022‑08‑24,44.82,6454109,14399391,40.49,15939218,34795287,2.82,No,Parliamentary
Angola,AGO,2017‑08‑26,76.13,7093002,9317294,53.07,13366186,29310273,3.88,No,Parliamentary
Angola,AGO,2012‑08‑31,62.77,6124669,9757671,71.59,8554966,18056072,6.02,No,Parliamentary
Angola,AGO,2008‑09‑06,87.36,7213281,8256854,92.42,7804962,16102061,10.58,No,Parliamentary
Antigua and Barbuda,ATG,2023‑01‑18,70.34,42849,60916,57.26,74837,101489,0.55,No,Parliamentary
Antigua and Barbuda,ATG,2018‑03‑21,76.52,39220,51257,56.69,69185,95693,0.73,No,Parliamentary
Antigua and Barbuda,ATG,2014‑06‑12,90.27,43077,47721,69.96,61571,91295,-,No,Parliamentary
Antigua and Barbuda,ATG,2009‑03‑12,80.27,41886,52183,89.59,46754,85632,0.5,No,Parliamentary
Antigua and Barbuda,ATG,2004‑03‑23,91.19,39627,43456,76.34,51911,67897,0.5,No,Parliamentary
Argentina,ARG,2023‑10‑22,77.01,27612739,35854122,79.01,34950444,46621847,11.1,Yes,Parliamentary
Argentina,ARG,2021‑01‑01,71.51,24842572,34742150,72.57,34230537,45864941,4.99,Yes,Parliamentary
Argentina,ARG,2019‑10‑27,80.37,27511567,34231895,82.26,33442549,45089492,6.8,Yes,Parliamentary
Argentina,ARG,2017‑01‑01,76.74,25413205,33116077,77.69,32713088,44293293,4.13,Yes,Parliamentary
Argentina,ARG,2015‑10‑25,81.06,26046646,32130853,81.41,31996332,43431886,10,Yes,Parliamentary
Argentina,ARG,2013‑10‑27,77.17,23641116,30635464,78.08,30276314,42610981,4.45,Yes,Parliamentary
Argentina,ARG,2011‑10‑23,79.39,22956385,28916183,77.35,29678579,41769726,4.48,Yes,Parliamentary
Argentina,ARG,2009‑06‑28,72.39,20123715,27797930,70.89,28389141,40913584,4.92,Yes,Parliamentary
Argentina,ARG,2007‑10‑28,76.21,20680663,27137536,76.8,26926602,40301927,12.53,Yes,Parliamentary
Argentina,ARG,2005‑10‑23,73.33,19168566,26140766,73.23,26175246,39537943,10.02,Yes,Parliamentary
Argentina,ARG,2001‑10‑14,75.21,18602837,24735483,72.99,25487913,37694169,21,Yes,Parliamentary
Armenia,ARM,2021‑06‑20,49.39,1281997,2595512,54.43,2355287,3011609,0.36,No,Parliamentary
Armenia,ARM,2018‑12‑09,48.63,1261105,2593140,53.38,2362422,3038217,0.37,No,Parliamentary
Armenia,ARM,2017‑04‑02,60.93,1577323,2588590,66.73,2363767,3045191,0.42,No,Parliamentary
Armenia,ARM,2012‑05‑06,62.87,1572858,2501597,69.67,2257586,2970495,3.42,No,Parliamentary
Armenia,ARM,2007‑05‑12,59.99,1391540,2319722,65.15,2136013,2976372,2.7,No,Parliamentary
Armenia,ARM,2003‑05‑25,55.18,1232627,2233757,60.65,2032289,3339099,2.8,No,Parliamentary
Australia,AUS,2022‑01‑01,89.74,15460808,17228900,75.99,20346683,26141369,5.18,Yes,Parliamentary
Australia,AUS,2019‑01‑01,91.89,15088616,16419543,80.79,18675465,23705630,5.54,Yes,Parliamentary
Australia,AUS,2016‑01‑01,91.01,14262016,15671551,78.96,18063010,22992654,5.05,Yes,Parliamentary
Australia,AUS,2013‑01‑01,93.23,13726070,14722754,78.86,17406251,22262501,5.91,Yes,Parliamentary
Australia,AUS,2010‑01‑01,93.22,13131667,14086869,81.02,16208479,21515754,5.6,Yes,Parliamentary
Australia,AUS,2007‑01‑01,94.76,12931460,13646539,82.38,15696515,20434176,3.95,Yes,Parliamentary
Australia,AUS,2004‑01‑01,94.32,12354983,13098461,82.37,14999498,19913144,5.18,Yes,Parliamentary
Australia,AUS,2001‑01‑01,94.85,12054664,12708837,84.2,14316998,19294257,4.82,Yes,Parliamentary
Austria,AUT,2024‑09‑29,76.25,4902460,6346059,65.76,7454528,8967982,0.95,No,Parliamentary
Austria,AUT,2019‑09‑29,75.59,4835469,6396812,64.4,7508169,8828456,1.2,No,Parliamentary
Austria,AUT,2017‑10‑15,80,5120881,6400993,68.79,7443978,8754413,0.99,No,Parliamentary
Austria,AUT,2013‑09‑29,74.91,4782563,6384331,65.87,7260801,8562634,1.9,No,Parliamentary
Austria,AUT,2008‑09‑28,78.81,4990952,6333109,75.61,6600595,8205533,2.1,No,Parliamentary
Austria,AUT,2006‑10‑01,78.49,4793780,6107892,73.21,6548332,8192880,1.78,No,Parliamentary
Austria,AUT,2002‑11‑24,84.27,4982261,5912592,77.45,6432768,8150835,1.5,No,Parliamentary
Azerbaijan,AZE,2024‑09‑01,76.43,4957967,6478840,63.52,7804818,10650239,-,No,Parliamentary
Azerbaijan,AZE,2020‑01‑01,46.84,2510135,5359015,33.58,7475615,10205810,-,No,Parliamentary
Azerbaijan,AZE,2015‑01‑01,55.54,2894515,5211765,40.48,7150506,9780780,-,No,Parliamentary
Azerbaijan,AZE,2010‑01‑01,49.76,2409129,4841631,46.55,5175155,8303512,-,No,Parliamentary
Azerbaijan,AZE,2005‑01‑01,40.47,1891977,4675572,36.67,5159945,8347300,3.7,No,Parliamentary
Azerbaijan,AZE,2000‑01‑01,67.99,2883819,4241550,61.23,4709852,7623798,-,No,Parliamentary
Bahamas,BHS,2021‑01‑01,65,126414,194494,48.46,260886,352655,-,No,Parliamentary
Bahamas,BHS,2017‑01‑01,86.91,159910,184000,66.53,240360,329988,-,No,Parliamentary
Bahamas,BHS,2012‑01‑01,90.78,156088,171932,67.31,231903,316182,-,No,Parliamentary
Bahamas,BHS,2007‑01‑01,92.13,138800,150654,69.19,200603,305655,0.8,No,Parliamentary
Bahamas,BHS,2002‑01‑01,90.03,130328,144758,69.69,187011,297852,0.9,No,Parliamentary
Bahrain,BHR,2022‑01‑01,73,251640,344713,21.7,1159588,1540558,-,No,Parliamentary
Bahrain,BHR,2018‑01‑01,67,237550,365467,22.18,1070950,1442659,-,No,Parliamentary
Bahrain,BHR,2014‑01‑01,52.6,183949,349713,18.45,997149,1314089,-,No,Parliamentary
Bahrain,BHR,2010‑01‑01,67,114570,171000,13.48,850180,1180080,-,No,Parliamentary
Bahrain,BHR,2006‑01‑01,73.6,217625,295686,37.22,584710,984393,-,No,Parliamentary
Bahrain,BHR,2002‑01‑01,53,344500,650000,74.48,462535,714831,-,No,Parliamentary
Bangladesh,BGD,2024‑01‑07,41.8,50031102,121775450,42.42,117933131,168697184,-,No,Parliamentary
Bangladesh,BGD,2018‑01‑01,80,83352384,104190480,78.06,106777785,159453001,-,No,Parliamentary
Bangladesh,BGD,2014‑01‑01,51.37,47262168,92007113,48.54,97373463,163654860,3.3,No,Parliamentary
Bangladesh,BGD,2008‑01‑01,85.26,69172649,81130973,78.93,87634867,151289991,0.9,No,Parliamentary
Bangladesh,BGD,2001‑01‑01,74.97,56185707,74946364,76.5,73445528,134477534,0.8,No,Parliamentary
Barbados,BRB,2022‑01‑01,41.73,111135,266330,46.2,240556,302674,0.07,No,Parliamentary
Barbados,BRB,2018‑01‑01,60.29,154245,255833,67.06,230005,293131,0.33,No,Parliamentary
Barbados,BRB,2013‑01‑01,65.05,153204,235510,69.78,219561,288725,-,No,Parliamentary
Barbados,BRB,2008‑01‑01,63.54,149633,235510,69.41,215586,283498,0.7,No,Parliamentary
Barbados,BRB,2003‑01‑01,56.88,124463,218811,68.13,182672,277547,0.2,No,Parliamentary
Belarus,BLR,2024‑02‑25,73.09,5052142,6912221,65.97,7657707,9501451,-,No,Parliamentary
Belarus,BLR,2019‑01‑01,77.31,5319286,6880605,68.94,7716337,9503591,1.05,No,Parliamentary
Belarus,BLR,2016‑01‑01,74.68,5211871,6978490,66.84,7797893,9570376,-,No,Parliamentary
Belarus,BLR,2012‑01‑01,74.2,5210676,7022221,65.92,7904831,9643566,-,No,Parliamentary
Belarus,BLR,2008‑01‑01,76.74,5384647,7016711,69.56,7741235,9685768,2.1,No,Parliamentary
Belarus,BLR,2004‑01‑01,90.14,6297600,6986163,82.43,7640118,10310520,3.2,No,Parliamentary
Belarus,BLR,2000‑01‑01,61.08,4430878,7254752,58.24,7607585,10142706,-,No,Parliamentary
Belgium,BEL,2024‑06‑09,87.42,7315450,8368029,75.82,9648566,11977634,5.63,Yes,Parliamentary
Belgium,BEL,2019‑05‑26,88.38,7218633,8167709,77.94,9261362,11647253,6.07,Yes,Parliamentary
