Basket_ID,Customer_ID,Product_Number,Desired_Quantity
B13,13,15,39
B13,13,10,83
B13,13,24,75
B13,13,23,50
B14,14,25,46
B14,14,21,13
B14,14,19,51
B14,14,16,46
B14,14,23,67
B14,14,10,96
B14,14,9,73
B14,14,6,90
B14,14,11,25
B14,14,5,51
B16,16,1,46
B16,16,13,57
B16,16,18,31
B16,16,23,89
B16,16,15,83
B16,16,6,85
B16,16,19,70
B16,16,12,39
B16,16,2,12
B16,16,22,57
B18,18,21,62
B18,18,25,71
B18,18,7,5
B18,18,20,7
B18,18,11,47
B18,18,6,64
B18,18,19,72
B18,18,1,45
B18,18,23,18
B18,18,24,63
B20,20,25,73
B20,20,12,63
B20,20,7,62
B20,20,6,2
B20,20,5,74
B20,20,15,30
B20,20,2,79
B20,20,24,8
B20,20,11,57
B20,20,22,84
B21,21,6,43
B21,21,17,17
B21,21,7,24
B21,21,13,95
B21,21,15,80
B21,21,4,68
B21,21,11,40
B21,21,9,30
B21,21,5,71
B21,21,25,91
B22,22,18,2
B22,22,11,50
B22,22,9,63
B22,22,13,92
B24,24,1,43
B24,24,18,96
B24,24,2,14
B24,24,22,50
B24,24,3,7
B24,24,24,96
B24,24,8,60
B24,24,15,36
B24,24,11,53
B24,24,20,60
B25,25,5,75
B25,25,6,66
B25,25,8,61
B25,25,3,24
B25,25,10,66
B25,25,19,46
B25,25,17,26
B25,25,20,56
B25,25,14,10
B25,25,15,36
B26,26,13,27
B26,26,23,7
B26,26,21,11
B26,26,17,93
B26,26,6,14
B26,26,20,13
B26,26,15,69
B26,26,19,50
B26,26,18,18
B26,26,12,57
B27,27,11,13
B27,27,25,63
B27,27,10,24
B27,27,6,58
B3,3,7,7
B3,3,8,47
B3,3,5,11
B3,3,23,79
B3,3,25,31
B3,3,1,87
B3,3,6,90
B3,3,16,28
B3,3,12,12
B3,3,19,57
B31,31,7,26
B31,31,6,77
B31,31,8,32
B31,31,18,7
B33,33,25,43
B33,33,11,54
B33,33,20,4
B33,33,2,45
B34,34,18,63
B34,34,19,89
B34,34,15,51
B34,34,11,69
B37,37,14,76
B37,37,15,27
B37,37,24,37
B37,37,17,87
B37,37,18,20
B37,37,10,88
B37,37,6,1
B37,37,22,44
B37,37,21,16
B37,37,20,55
B39,39,5,7
B39,39,4,59
B39,39,23,20
B39,39,14,48
B4,4,15,73
B4,4,5,62
B4,4,16,90
B4,4,8,42
B4,4,2,67
B4,4,22,22
B4,4,3,73
B4,4,19,91
B4,4,21,64
B4,4,23,51
B40,40,3,54
B40,40,17,10
B40,40,11,34
B40,40,22,9
B40,40,19,85
B40,40,10,83
B40,40,23,42
B40,40,25,3
B40,40,16,24
B40,40,21,42
B43,43,13,50
B43,43,6,38
B43,43,16,45
B43,43,15,100
B43,43,17,97
B43,43,19,23
B43,43,2,77
B43,43,7,35
B43,43,22,24
B43,43,23,100
B44,44,11,41
B44,44,17,19
B44,44,4,45
B44,44,6,18
B44,44,13,79
B44,44,18,25
B44,44,14,29
B44,44,16,28
B44,44,24,59
B44,44,5,84
B46,46,8,82
B46,46,11,38
B46,46,9,7
B46,46,23,15
B46,46,10,56
B46,46,16,56
B46,46,14,79
B46,46,1,28
B46,46,21,36
B46,46,6,46
B47,47,16,44
B47,47,22,93
B47,47,18,75
B47,47,21,41
B48,48,5,16
B48,48,15,69
B48,48,4,41
B48,48,18,41
B9,9,12,27
B9,9,20,37
B9,9,22,29
B9,9,14,41
