Order_Number,Customer_ID,Product_Number,Num_Ordered,Product_Subtotal,Date,Deduction_Promotion,Total,Grand_Total
10446,35,42,47,12690.0,2024-04-14,0.0,20290.0,20290.0
10446,35,28,19,7600.0,2024-04-14,0.0,20290.0,20290.0
11480,28,97,12,900.0,2024-04-12,0.0,8295.0,8295.0
11480,28,82,63,2520.0,2024-04-12,0.0,8295.0,8295.0
11480,28,15,65,4875.0,2024-04-12,0.0,8295.0,8295.0
20917,27,37,71,35145.0,2024-04-25,0.0,44275.0,44275.0
20917,27,93,83,9130.0,2024-04-25,0.0,44275.0,44275.0
22953,14,93,62,6820.0,2024-06-11,0.0,26900.0,26900.0
22953,14,7,95,7600.0,2024-06-11,0.0,26900.0,26900.0
22953,14,66,39,12480.0,2024-06-11,0.0,26900.0,26900.0
28983,41,56,7,735.0,2024-11-09,0.0,27805.0,27805.0
28983,41,83,15,2250.0,2024-11-09,0.0,27805.0,27805.0
28983,41,46,2,570.0,2024-11-09,0.0,27805.0,27805.0
28983,41,33,97,24250.0,2024-11-09,0.0,27805.0,27805.0
31373,33,38,7,3255.0,2024-07-13,0.0,3955.0,3955.0
31373,33,9,28,700.0,2024-07-13,0.0,3955.0,3955.0
33138,15,13,8,3520.0,2024-02-08,0.0,30385.0,30385.0
33138,15,41,93,25110.0,2024-02-08,0.0,30385.0,30385.0
33138,15,19,9,1755.0,2024-02-08,0.0,30385.0,30385.0
44801,16,71,37,9065.0,2024-08-29,0.45,25425.0,13983.75
44801,16,74,80,5600.0,2024-08-29,0.45,25425.0,13983.75
44801,16,11,10,4600.0,2024-08-29,0.45,25425.0,13983.75
44801,16,91,22,6160.0,2024-08-29,0.45,25425.0,13983.75
45162,11,39,73,13505.0,2024-04-07,0.0,65760.0,65760.0
45162,11,98,51,13260.0,2024-04-07,0.0,65760.0,65760.0
45162,11,78,70,32200.0,2024-04-07,0.0,65760.0,65760.0
45162,11,34,33,6105.0,2024-04-07,0.0,65760.0,65760.0
45162,11,40,2,690.0,2024-04-07,0.0,65760.0,65760.0
49491,42,35,46,4600.0,2024-10-29,0.0,46265.0,46265.0
49491,42,61,7,350.0,2024-10-29,0.0,46265.0,46265.0
49491,42,71,62,15190.0,2024-10-29,0.0,46265.0,46265.0
49491,42,3,55,26125.0,2024-10-29,0.0,46265.0,46265.0
50165,4,2,42,6510.0,2024-02-27,0.0,38805.0,38805.0
50165,4,44,40,6400.0,2024-02-27,0.0,38805.0,38805.0
50165,4,76,7,595.0,2024-02-27,0.0,38805.0,38805.0
50165,4,27,92,25300.0,2024-02-27,0.0,38805.0,38805.0
50273,46,64,22,550.0,2024-01-12,0.0,22325.0,22325.0
50273,46,87,19,3040.0,2024-01-12,0.0,22325.0,22325.0
50273,46,4,48,11280.0,2024-01-12,0.0,22325.0,22325.0
50273,46,56,71,7455.0,2024-01-12,0.0,22325.0,22325.0
51590,48,77,76,36860.0,2024-05-19,0.0,45680.0,45680.0
51590,48,72,36,8820.0,2024-05-19,0.0,45680.0,45680.0
52819,22,16,3,1110.0,2024-08-13,0.0,71910.0,71910.0
52819,22,73,24,7680.0,2024-08-13,0.0,71910.0,71910.0
52819,22,65,82,38130.0,2024-08-13,0.0,71910.0,71910.0
52819,22,12,98,24990.0,2024-08-13,0.0,71910.0,71910.0
53521,7,48,97,25220.0,2024-06-12,0.0,28365.0,28365.0
53521,7,71,5,1225.0,2024-06-12,0.0,28365.0,28365.0
53521,7,82,48,1920.0,2024-06-12,0.0,28365.0,28365.0
54450,35,3,79,37525.0,2023-12-07,0.0,73085.0,73085.0
54450,35,2,72,11160.0,2023-12-07,0.0,73085.0,73085.0
54450,35,28,61,24400.0,2023-12-07,0.0,73085.0,73085.0
56488,47,82,2,80.0,2024-05-13,0.0,9845.0,9845.0
56488,47,2,63,9765.0,2024-05-13,0.0,9845.0,9845.0
57190,27,34,78,14430.0,2024-07-18,0.0,18835.0,18835.0
57190,27,48,5,1300.0,2024-07-18,0.0,18835.0,18835.0
57190,27,92,9,3105.0,2024-07-18,0.0,18835.0,18835.0
57314,39,51,67,21105.0,2024-05-27,0.0,49680.0,49680.0
57314,39,4,74,17390.0,2024-05-27,0.0,49680.0,49680.0
57314,39,75,15,6375.0,2024-05-27,0.0,49680.0,49680.0
57314,39,5,74,4810.0,2024-05-27,0.0,49680.0,49680.0
61731,16,27,80,22000.0,2024-02-05,0.0,77945.0,77945.0
61731,16,20,93,33015.0,2024-02-05,0.0,77945.0,77945.0
61731,16,39,96,17760.0,2024-02-05,0.0,77945.0,77945.0
61731,16,93,47,5170.0,2024-02-05,0.0,77945.0,77945.0
61943,37,52,66,28710.0,2023-12-15,0.0,28710.0,28710.0
64722,21,72,6,1470.0,2024-08-03,0.0,22750.0,22750.0
64722,21,91,76,21280.0,2024-08-03,0.0,22750.0,22750.0
65435,4,9,8,200.0,2024-07-31,0.0,200.0,200.0
65868,38,61,47,2350.0,2024-07-30,0.0,83015.0,83015.0
65868,38,3,63,29925.0,2024-07-30,0.0,83015.0,83015.0
65868,38,4,14,6650.0,2024-07-30,0.0,83015.0,83015.0
65868,38,85,81,38070.0,2024-07-30,0.0,83015.0,83015.0
65868,38,74,86,6020.0,2024-07-30,0.0,83015.0,83015.0
69975,3,46,30,8550.0,2023-11-26,0.0,53690.0,53690.0
69975,3,66,57,18240.0,2023-11-26,0.0,53690.0,53690.0
69975,3,27,90,24750.0,2023-11-26,0.0,53690.0,53690.0
69975,3,61,43,2150.0,2023-11-26,0.0,53690.0,53690.0
70074,18,8,47,12220.0,2024-04-30,1.0,19315.0,0.0
70074,18,59,43,7095.0,2024-04-30,1.0,19315.0,0.0
71493,19,75,65,27625.0,2024-01-05,0.0,27625.0,27625.0
74185,33,78,15,6900.0,2024-10-28,0.0,75190.0,75190.0
74185,33,75,83,35275.0,2024-10-28,0.0,75190.0,75190.0
74185,33,38,71,33015.0,2024-10-28,0.0,75190.0,75190.0
74288,16,48,42,10920.0,2023-12-31,0.0,95505.0,95505.0
74288,16,51,84,26460.0,2023-12-31,0.0,95505.0,95505.0
74288,16,10,25,5125.0,2023-12-31,0.0,95505.0,95505.0
74288,16,77,24,11640.0,2023-12-31,0.0,95505.0,95505.0
74288,16,25,88,41360.0,2023-12-31,0.0,95505.0,95505.0
76083,49,83,47,7050.0,2024-01-06,0.0,62790.0,62790.0
76083,49,39,38,7030.0,2024-01-06,0.0,62790.0,62790.0
76083,49,49,54,25380.0,2024-01-06,0.0,62790.0,62790.0
76083,49,68,60,18000.0,2024-01-06,0.0,62790.0,62790.0
76083,49,10,26,5330.0,2024-01-06,0.0,62790.0,62790.0
77655,19,5,57,3705.0,2024-05-26,0.0,20505.0,20505.0
77655,19,47,96,16800.0,2024-05-26,0.0,20505.0,20505.0
78721,6,5,68,4420.0,2024-05-16,0.0,16435.0,16435.0
78721,6,26,27,12015.0,2024-05-16,0.0,16435.0,16435.0
78926,41,24,26,3120.0,2024-08-05,0.0,12190.0,12190.0
78926,41,30,15,2100.0,2024-08-05,0.0,12190.0,12190.0
78926,41,76,17,1445.0,2024-08-05,0.0,12190.0,12190.0
78926,41,75,65,5525.0,2024-08-05,0.0,12190.0,12190.0
81259,14,71,41,10045.0,2024-07-20,0.0,10045.0,10045.0
82346,17,2,30,4650.0,2024-02-29,0.0,4650.0,4650.0
86245,19,67,33,495.0,2024-03-26,0.0,47990.0,47990.0
86245,19,30,24,3360.0,2024-03-26,0.0,47990.0,47990.0
86245,19,27,51,14025.0,2024-03-26,0.0,47990.0,47990.0
86245,19,8,31,8060.0,2024-03-26,0.0,47990.0,47990.0
86245,19,72,90,22050.0,2024-03-26,0.0,47990.0,47990.0
86309,28,44,10,1600.0,2024-07-27,0.0,52000.0,52000.0
86309,28,83,54,8100.0,2024-07-27,0.0,52000.0,52000.0
86309,28,25,90,42300.0,2024-07-27,0.0,52000.0,52000.0
87278,10,52,41,17835.0,2024-07-07,0.0,17835.0,17835.0
89617,27,30,4,560.0,2024-09-11,0.0,23180.0,23180.0
89617,27,83,90,13500.0,2024-09-11,0.0,23180.0,23180.0
89617,27,89,24,9120.0,2024-09-11,0.0,23180.0,23180.0
89673,15,80,31,7595.0,2024-05-01,0.0,7595.0,7595.0
89684,32,85,71,33370.0,2024-01-28,0.0,126660.0,126660.0
89684,32,65,62,28830.0,2024-01-28,0.0,126660.0,126660.0
89684,32,77,88,42680.0,2024-01-28,0.0,126660.0,126660.0
89684,32,95,74,1480.0,2024-01-28,0.0,126660.0,126660.0
89684,32,99,58,20300.0,2024-01-28,0.0,126660.0,126660.0
93146,32,70,58,27840.0,2024-04-12,0.0,27840.0,27840.0
94323,39,56,48,5040.0,2024-05-02,0.0,17185.0,17185.0
94323,39,30,7,980.0,2024-05-02,0.0,17185.0,17185.0
