Product_Number,Product_Name,Description,Brand,Colour,Depth,Width,Height,Weight,Price,Warranty,Category,Stock_Quantity,Is_Available
1,Ring,Modi sed dolore labore porro sit ut.,Camacho LLC,DarkKhaki,96,23,113,66.54,75.0,2,Jewelry and Watches,151,Y
2,Pet Toy,Tempora adipisci non aliquam etincidunt sit quiquia.,Higgins-Mcknight,Turquoise,149,101,44,17.28,155.0,2,Pet Supplies,0,N
3,Bakery Item,Magnam numquam labore quaerat labore.,"Pearson, Estrada and Thomas",Navy,118,69,141,61.09,475.0,2,Grocery and Gourmet Food,4,Y
4,Snack,Ut porro dolorem modi aliquam non labore quaerat.,"Bailey, Christensen and Jenkins",NavajoWhite,142,52,130,41.63,235.0,2,Grocery and Gourmet Food,2,Y
5,Bakery Item,Velit quiquia ipsum neque quiquia adipisci velit eius.,"Livingston, Gonzalez and Thomas",LawnGreen,46,141,150,18.49,65.0,2,Grocery and Gourmet Food,107,Y
6,Skincare Product,Amet adipisci neque adipisci.,Allen Group,SaddleBrown,72,64,69,11.39,405.0,2,Health and Beauty,142,Y
7,Office Chair,Est numquam dolore sed est.,"Alexander, Davis and Jackson",Violet,76,117,83,49.9,80.0,2,Furniture,48,Y
8,Pen,Est consectetur est tempora numquam.,Williams LLC,PapayaWhip,54,111,6,22.92,260.0,2,Books and Stationery,7,Y
9,Smartwatch,Sed modi porro voluptatem eius quisquam velit sit.,Heath Ltd,Navy,133,116,58,52.63,25.0,2,Electronics,0,N
10,Pen,Tempora etincidunt dolor dolorem.,Maxwell-Richards,BurlyWood,13,79,19,85.92,205.0,2,Books and Stationery,102,Y
11,Pet Bed,Dolor adipisci porro aliquam quaerat voluptatem.,"Gibson, Barker and Mills",Chocolate,56,146,118,17.57,460.0,2,Pet Supplies,77,Y
12,Cat Litter,Consectetur dolorem quaerat sed modi quaerat.,Wilson-Atkins,DarkRed,50,127,27,93.83,255.0,2,Pet Supplies,160,Y
13,Educational Toy,Magnam etincidunt adipisci dolore dolorem ipsum velit quaerat.,Tapia-Trujillo,Moccasin,35,87,110,21.7,440.0,2,Toys and Games,76,Y
14,Beverage,Non ut porro eius amet tempora aliquam amet.,Hernandez Inc,SeaShell,35,44,43,91.14,145.0,2,Grocery and Gourmet Food,25,Y
15,Crib,Labore ipsum ipsum consectetur etincidunt eius.,"Johnson, Jones and Hogan",Plum,126,35,149,55.34,75.0,2,Baby Products,69,Y
16,Bed,Voluptatem dolor ipsum consectetur quiquia.,Harrison PLC,SteelBlue,97,20,147,55.25,370.0,2,Furniture,0,N
17,Notebook,Porro consectetur neque est consectetur velit aliquam voluptatem.,Anderson Ltd,OrangeRed,76,4,4,9.62,80.0,2,Books and Stationery,21,Y
18,Baby Clothing,Consectetur neque dolore sed eius.,"Guzman, Lynn and Allen",Turquoise,41,27,112,91.12,250.0,2,Baby Products,0,N
19,Supplement,Sit non ipsum consectetur dolorem quisquam.,Woods-Gross,Purple,82,11,7,1.55,195.0,2,Health and Beauty,139,Y
20,Earring,Magnam amet amet ipsum quiquia neque.,Jones PLC,NavajoWhite,29,65,56,78.62,355.0,2,Jewelry and Watches,186,Y
21,Notebook,Porro dolorem etincidunt dolorem eius.,Davis Inc,Gray,93,21,72,9.4,490.0,2,Books and Stationery,177,Y
22,Stroller,Magnam etincidunt aliquam ipsum dolore.,Norris PLC,DarkCyan,82,149,78,24.96,70.0,2,Baby Products,0,N
23,Diaper,Eius adipisci velit eius magnam.,Hunt and Sons,DarkGoldenRod,19,69,142,86.82,475.0,2,Baby Products,140,Y
24,Educational Toy,Non non dolor consectetur numquam ut.,Freeman-Brown,Pink,84,20,131,94.95,120.0,2,Toys and Games,120,Y
25,Headphone,Consectetur sit numquam voluptatem quiquia etincidunt.,"Evans, Burton and Santiago",Black,33,53,37,54.78,470.0,2,Electronics,46,Y
26,Crib,Dolore etincidunt modi porro dolore.,Stout-Mendoza,Indigo,13,64,65,77.89,445.0,2,Baby Products,9,Y
27,Beverage,Neque porro neque adipisci magnam voluptatem ipsum dolore.,Blankenship-Booth,Silver,67,125,7,79.41,275.0,2,Grocery and Gourmet Food,115,Y
28,Planner,Quaerat dolor dolor est voluptatem.,Ferguson-Adams,ForestGreen,71,102,145,40.41,400.0,2,Books and Stationery,0,N
29,Action Figure,Ipsum numquam quisquam neque sed quisquam tempora eius.,"Mccarthy, Gibson and Richards",Gainsboro,62,81,127,68.85,150.0,2,Toys and Games,0,N
30,Bakery Item,Quisquam eius aliquam amet ut numquam.,Hicks-Hopkins,PaleVioletRed,95,41,131,76.72,140.0,2,Grocery and Gourmet Food,183,Y
31,Supplement,Dolore sit sit tempora neque quiquia.,"Castro, Ross and Walton",Indigo,22,32,132,57.34,120.0,2,Health and Beauty,0,N
32,Accessory,Non sed magnam sit.,Smith-Kaiser,Snow,90,99,132,84.62,355.0,2,Clothing and Apparel,0,N
33,Organic Food,Quisquam consectetur est tempora amet dolor.,Wilcox LLC,Magenta,21,114,62,97.14,250.0,2,Grocery and Gourmet Food,187,Y
34,Pen,Quiquia non dolorem consectetur modi.,"Suarez, Taylor and Shaw",DarkSlateGray,137,105,31,66.22,185.0,2,Books and Stationery,111,Y
35,Organic Food,Numquam neque quaerat adipisci adipisci.,Rosales-Griffin,MediumOrchid,63,67,53,17.7,100.0,2,Grocery and Gourmet Food,64,Y
36,Supplement,Voluptatem sed neque velit velit dolore.,"Watson, Dawson and Smith",Green,140,92,126,42.29,85.0,2,Health and Beauty,0,N
37,Cat Litter,Velit consectetur velit adipisci consectetur quaerat.,Dean-Brown,SandyBrown,4,140,76,96.51,495.0,2,Pet Supplies,0,N
38,Smartphone,Labore quaerat velit etincidunt modi numquam sed labore.,Smith-Adams,SteelBlue,136,83,1,12.83,465.0,2,Electronics,186,Y
39,Spice,Velit tempora sed quaerat non consectetur.,"Smith, Morales and Garcia",MediumBlue,97,98,53,55.91,185.0,2,Grocery and Gourmet Food,116,Y
40,Snack,Quiquia voluptatem numquam modi tempora sit etincidunt.,"Harvey, Dominguez and Armstrong",RosyBrown,44,116,136,20.14,345.0,2,Grocery and Gourmet Food,163,Y
41,Baby Clothing,Ipsum quiquia quaerat tempora sit tempora amet.,Carr PLC,MediumSpringGreen,127,64,75,63.15,270.0,2,Baby Products,1,Y
42,Pet Toy,Ut amet voluptatem ut quiquia.,"Russo, Williams and Jackson",DarkOrange,3,90,68,79.93,270.0,2,Pet Supplies,185,Y
43,Smartwatch,Non dolore neque numquam aliquam est.,Wilson PLC,Linen,131,26,109,7.44,50.0,2,Electronics,176,Y
