Desired_Quantity,Product_Number,Basket_ID
75,5,B25
66,6,B25
61,8,B25
24,3,B25
66,10,B25
46,19,B25
26,17,B25
56,20,B25
10,14,B25
36,15,B25
7,7,B3
47,8,B3
11,5,B3
79,23,B3
31,25,B3
87,1,B3
90,6,B3
28,16,B3
12,12,B3
57,19,B3
62,21,B18
71,25,B18
5,7,B18
7,20,B18
47,11,B18
64,6,B18
72,19,B18
45,1,B18
18,23,B18
63,24,B18
54,3,B40
10,17,B40
34,11,B40
9,22,B40
85,19,B40
83,10,B40
42,23,B40
3,25,B40
24,16,B40
42,21,B40
82,8,B46
38,11,B46
7,9,B46
15,23,B46
56,10,B46
56,16,B46
79,14,B46
28,1,B46
36,21,B46
46,6,B46
46,25,B14
13,21,B14
51,19,B14
46,16,B14
67,23,B14
96,10,B14
73,9,B14
90,6,B14
25,11,B14
51,5,B14
73,15,B4
62,5,B4
90,16,B4
42,8,B4
67,2,B4
22,22,B4
73,3,B4
91,19,B4
64,21,B4
51,23,B4
46,1,B16
57,13,B16
31,18,B16
89,23,B16
83,15,B16
85,6,B16
70,19,B16
39,12,B16
12,2,B16
57,22,B16
73,25,B20
63,12,B20
62,7,B20
2,6,B20
74,5,B20
30,15,B20
79,2,B20
8,24,B20
57,11,B20
84,22,B20
43,6,B21
17,17,B21
24,7,B21
95,13,B21
80,15,B21
68,4,B21
40,11,B21
30,9,B21
71,5,B21
91,25,B21
76,14,B37
27,15,B37
37,24,B37
87,17,B37
20,18,B37
88,10,B37
1,6,B37
44,22,B37
16,21,B37
55,20,B37
27,13,B26
7,23,B26
11,21,B26
93,17,B26
14,6,B26
13,20,B26
69,15,B26
50,19,B26
18,18,B26
57,12,B26
50,13,B43
38,6,B43
45,16,B43
100,15,B43
97,17,B43
23,19,B43
77,2,B43
35,7,B43
24,22,B43
100,23,B43
43,1,B24
96,18,B24
14,2,B24
50,22,B24
7,3,B24
96,24,B24
60,8,B24
36,15,B24
53,11,B24
60,20,B24
41,11,B44
19,17,B44
45,4,B44
18,6,B44
79,13,B44
25,18,B44
29,14,B44
28,16,B44
59,24,B44
84,5,B44
7,5,B39
59,4,B39
20,23,B39
48,14,B39
2,18,B22
50,11,B22
63,9,B22
92,13,B22
39,15,B13
83,10,B13
75,24,B13
50,23,B13
13,11,B27
63,25,B27
24,10,B27
58,6,B27
16,5,B48
69,15,B48
41,4,B48
41,18,B48
44,16,B47
93,22,B47
75,18,B47
41,21,B47
63,18,B34
89,19,B34
51,15,B34
69,11,B34
26,7,B31
77,6,B31
32,8,B31
7,18,B31
43,25,B33
54,11,B33
4,20,B33
45,2,B33
27,12,B9
37,20,B9
29,22,B9
41,14,B9
