Product_Number,Product_Subtotal,Num_Ordered,Order_Number
97,7500.0,100,96328
9,1100.0,44,96328
7,4720.0,59,96328
6,31995.0,79,96328
23,9025.0,19,96328
75,27625.0,65,71493
52,28710.0,66,61943
35,4600.0,46,49491
61,350.0,7,49491
71,15190.0,62,49491
3,26125.0,55,49491
77,36860.0,76,51590
72,8820.0,36,51590
51,21105.0,67,57314
4,17390.0,74,57314
75,6375.0,15,57314
5,4810.0,74,57314
48,25220.0,97,53521
71,1225.0,5,53521
82,1920.0,48,53521
70,27840.0,58,93146
42,12690.0,47,10446
28,7600.0,19,10446
52,17835.0,41,87278
34,14430.0,78,57190
48,1300.0,5,57190
92,3105.0,9,57190
71,9065.0,37,44801
74,5600.0,80,44801
11,4600.0,10,44801
91,6160.0,22,44801
37,35145.0,71,20917
93,9130.0,83,20917
93,6820.0,62,22953
7,7600.0,95,22953
66,12480.0,39,22953
71,10045.0,41,81259
5,3705.0,57,77655
47,16800.0,96,77655
72,1470.0,6,64722
91,21280.0,76,64722
24,3120.0,26,78926
30,2100.0,15,78926
76,1445.0,17,78926
75,5525.0,65,78926 
8,12220.0,47,70074
59,7095.0,43,70074
82,80.0,2,56488
2,9765.0,63,56488
2,4650.0,30,82346
5,4420.0,68,78721
26,12015.0,27,78721
48,10920.0,42,74288
51,26460.0,84,74288
10,5125.0,25,74288
77,11640.0,24,74288
25,41360.0,88,74288
61,2350.0,47,65868
3,29925.0,63,65868
4,6650.0,14,65868
85,38070.0,81,65868
74,6020.0,86,65868
44,1600.0,10,86309
83,8100.0,54,86309
25,42300.0,90,86309
85,33370.0,71,89684
65,28830.0,62,89684
77,42680.0,88,89684
95,1480.0,74,89684
99,20300.0,58,89684
39,13505.0,73,45162
98,13260.0,51,45162
78,32200.0,70,45162
34,6105.0,33,45162
40,690.0,2,45162
46,8550.0,30,69975
66,18240.0,57,69975
27,24750.0,90,69975
61,2150.0,43,69975
56,735.0,7,28983
83,2250.0,15,28983
46,570.0,2,28983
33,24250.0,97,28983
2,6510.0,42,50165
44,6400.0,40,50165
76,595.0,7,50165
27,25300.0,92,50165
17,8000.0,100,98012
30,560.0,4,89617
83,13500.0,90,89617
89,9120.0,24,89617
83,7050.0,47,76083
39,7030.0,38,76083
49,25380.0,54,76083
68,18000.0,60,76083
10,5330.0,26,76083
80,7595.0,31,89673
27,22000.0,80,61731
20,33015.0,93,61731
39,17760.0,96,61731
93,5170.0,47,61731
64,550.0,22,50273
87,3040.0,19,50273
4,11280.0,48,50273
56,7455.0,71,50273
78,6900.0,15,74185
75,35275.0,83,74185
38,33015.0,71,74185
97,900.0,12,11480
82,2520.0,63,11480
15,4875.0,65,11480
56,5040.0,48,94323
30,980.0,7,94323
14,11165.0,77,94323
38,3255.0,7,31373
9,700.0,28,31373
9,200.0,8,65435
3,37525.0,79,54450
2,11160.0,72,54450
28,24400.0,61,54450
67,495.0,33,86245
30,3360.0,24,86245
27,14025.0,51,86245
8,8060.0,31,86245
72,22050.0,90,86245
16,1110.0,3,52819
73,7680.0,24,52819
65,38130.0,82,52819
12,24990.0,98,52819
13,3520.0,8,33138
41,25110.0,93,33138
19,1755.0,9,33138
