Order_Number,Date,Deduction_Promotion,Total,Grand_Total,Customer_ID
96328,2024-09-14,0,54340.0,54340.0,24
71493,2024-01-05,0,27625.0,27625.0,19
61943,2023-12-15,0,28710.0,28710.0,37
49491,2024-10-29,0,46265.0,46265.0,42
51590,2024-05-19,0,45680.0,45680.0,48
57314,2024-05-27,0,49680.0,49680.0,39
53521,2024-06-12,0,28365.0,28365.0,7
93146,2024-04-12,0,27840.0,27840.0,32
10446,2024-04-14,0,20290.0,20290.0,35
87278,2024-07-07,0,17835.0,17835.0,10
57190,2024-07-18,0,18835.0,18835.0,27
44801,2024-08-29,0.45,25425.0,13983.75,16
20917,2024-04-25,0,44275.0,44275.0,27
22953,2024-06-11,0,26900.0,26900.0,14
81259,2024-07-20,0,10045.0,10045.0,14
77655,2024-05-26,0,20505.0,20505.0,19
64722,2024-08-03,0,22750.0,22750.0,21
78926,2024-08-05,0,12190.0,12190.0,41
70074,2024-04-30,1.0,19315.0,0.0,18
56488,2024-05-13,0,9845.0,9845.0,47
82346,2024-02-29,0,4650.0,4650.0,17
78721,2024-05-16,0,16435.0,16435.0,6
74288,2023-12-31,0,95505.0,95505.0,16
65868,2024-07-30,0,83015.0,83015.0,38
86309,2024-07-27,0,52000.0,52000.0,28
89684,2024-01-28,0,126660.0,126660.0,32
45162,2024-04-07,0,65760.0,65760.0,11
69975,2023-11-26,0,53690.0,53690.0,3
28983,2024-11-09,0,27805.0,27805.0,41
50165,2024-02-27,0,38805.0,38805.0,4
98012,2024-07-06,0,8000.0,8000.0,8
89617,2024-09-11,0,23180.0,23180.0,27
76083,2024-01-06,0,62790.0,62790.0,49
89673,2024-05-01,0,7595.0,7595.0,15
61731,2024-02-05,0,77945.0,77945.0,16
50273,2024-01-12,0,22325.0,22325.0,46
74185,2024-10-28,0,75190.0,75190.0,33
11480,2024-04-12,0,8295.0,8295.0,28
94323,2024-05-02,0,17185.0,17185.0,39
31373,2024-07-13,0,3955.0,3955.0,33
65435,2024-07-31,0,200.0,200.0,4
54450,2023-12-07,0,73085.0,73085.0,35
86245,2024-03-26,0,47990.0,47990.0,19
52819,2024-08-13,0,71910.0,71910.0,22
33138,2024-02-08,0,30385.0,30385.0,15
