NSID,W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W6NEETAct,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8DACTIVITY,W8QDEB2,W8QMAFI,W8DINCW
NS12653X,-1,-1,2,1,2,1,1,2,1,15,15,1,2,2,1,0,1,1,0,0,2,2,0,2,1,1,2,2,2,1,2,37,0,2,1,6,2,2,2,5,14,-91,2,1,2,2,1,-91,1,4,4,2,16,-91,0,1,1,1,2,2,1,10000,1,491.71
NS19668R,9360,59360,2,1,2,0,1,1,1,5,3,1,2,2,1,0,0,1,0,0,2,1,0,2,1,1,5,2,1,1,3,31,1,2,2,4,2,2,2,5,16,-91,1,1,2,2,1,-91,1,4,4,2,10,-91,12,1,1,1,2,5,1,-1,4,480
NS23435L,-92,-92,2,1,2,0,1,2,1,15,9,1,2,2,1,0,0,1,1,0,2,2,0,2,1,4,2,2,2,1,3,28,1,2,2,3,2,2,2,2,4,-91,1,2,2,1,2,2,9,4,4,2,4,-91,0,2,1,1,2,2,1,-1,1,478.69
NS16371K,-92,-99,1,1,2,0,1,2,1,15,-99,1,1,1,1,0,0,1,0,0,2,1,0,-99,1,1,2,2,1,1,3,36,2,2,2,2,2,1,2,5,17,-91,1,1,2,1,1,-91,9,4,4,2,14,-91,2,1,1,1,2,2,1,24000,2,478.43
NS22371M,6448,-92,2,1,1,1,1,2,1,3,7,1,2,2,1,0,0,3,0,0,2,3,0,1,1,2,4,2,1,1,3,29,0,2,1,3,1,1,2,5,13,-91,1,1,2,1,1,-91,1,4,4,2,16,-91,1,1,1,1,2,4,1,10500,3,477.56
NS23189G,16354,52910,1,1,2,0,1,2,1,4,9,1,1,1,1,0,0,1,0,0,2,1,0,2,1,2,4,2,1,2,3,39,0,2,1,3,2,2,2,5,15,-91,2,1,2,1,1,-91,1,4,4,2,12,-91,0,1,1,1,2,7,1,800,2,476.98
NS25326G,4560,62560,2,1,1,1,1,1,1,2,1,1,2,2,1,0,0,2,0,0,2,2,0,3,1,1,3,2,1,1,3,33,5,2,3,3,1,2,2,5,14,-91,1,1,2,2,1,-91,1,4,4,2,17,-91,3,1,1,1,2,4,1,-1,1,475.76
NS18493V,5760,47760,2,1,1,1,1,2,1,15,3,1,2,2,1,0,0,2,0,0,2,2,0,2,1,1,5,2,-1,2,3,37,1,2,1,3,1,2,2,5,11,-91,1,1,2,2,1,-91,1,4,4,2,13,-91,0,1,1,1,2,7,1,1000,1,474.18
NS21179W,5226,26962,2,1,2,0,1,2,1,9,13,1,2,2,1,0,0,1,0,0,2,1,0,5,1,1,1,2,1,1,3,39,5,2,4,3,1,2,2,5,14,-91,2,1,2,2,2,1,2,4,4,2,15,-91,0,1,1,1,2,4,1,3000,2,473.36
NS18546C,10680,28680,1,1,2,1,1,2,1,7,16,1,1,1,1,0,0,2,1,0,2,3,0,2,1,2,3,1,1,1,3,25,10,2,3,-91,2,1,2,5,7,-91,1,1,2,1,2,2,9,4,4,2,12,-91,4,1,1,1,2,4,1,1600,2,473.28
NS18334B,10829.52,25880.4,2,1,2,0,1,2,1,15,2,2,2,2,2,0,0,1,1,0,2,2,0,2,1,2,3,2,1,-1,3,30,5,2,3,3,2,2,2,5,15,-91,1,2,2,1,2,2,9,4,4,2,8,-91,7,1,1,1,2,4,1,1000,2,469.74
NS11683K,5616,35616,2,1,2,1,1,2,1,15,15,1,2,2,1,0,1,1,0,0,2,2,0,2,1,2,2,2,1,1,3,30,3,2,3,2,1,2,2,5,14,-91,1,1,2,1,2,2,9,4,4,2,5,-91,5,1,1,1,2,4,2,-1,2,469.74
NS15485Q,4800,25080,2,1,1,0,1,2,1,15,8,1,2,2,1,0,0,1,0,0,2,1,0,1,1,2,4,2,2,2,3,31,0,2,1,3,2,2,2,5,14,-91,1,1,2,1,1,-91,1,4,4,2,11,-91,0,1,1,1,2,4,1,-1,2,468.9
NS20957B,13272,52272,2,1,2,0,1,2,1,15,7,1,2,2,1,0,0,1,1,0,2,2,0,3,1,2,3,2,1,1,3,35,0,2,2,3,2,2,2,5,14,-91,1,1,2,2,1,-91,9,4,4,2,13,-91,1,1,1,1,2,7,1,23000,3,468.21
NS19043J,4940,24940,2,1,1,2,1,2,1,7,4,1,2,2,1,0,1,2,0,0,2,3,0,5,1,2,1,2,1,2,3,42,0,2,1,4,2,2,2,5,16,-91,2,1,2,2,1,-91,1,4,4,2,13,-91,4,1,1,1,2,5,1,-1,1,467.9
NS11703F,32500,58500,1,1,2,0,1,2,1,1,1,1,1,1,1,0,0,1,2,0,2,3,0,1,1,2,3,2,1,2,3,39,0,2,2,3,1,2,2,5,10,-91,1,1,2,1,2,2,9,4,4,2,19,-91,0,1,1,1,2,2,1,4000,2,465.94
NS18925W,15288,40300,1,1,2,0,1,2,1,15,4,1,1,1,1,0,0,1,0,0,2,1,0,1,1,2,2,1,1,1,3,34,8,2,4,2,1,2,2,5,13,-91,2,1,2,1,2,1,3,4,1,2,12,-91,0,1,3,1,2,5,11,30000,2,465.94
NS18853A,-92,-92,2,1,2,1,1,2,1,15,1,1,2,2,1,0,1,1,1,0,2,3,0,2,1,1,4,2,1,1,3,37,3,2,2,3,1,1,2,5,13,-91,1,2,2,1,2,2,9,4,4,2,12,-91,2,1,1,1,2,4,1,1000,2,465.31
NS13957D,2600,29600,3,1,2,1,1,2,1,7,14,1,1,1,1,0,0,2,1,0,2,3,0,3,1,2,5,2,1,1,3,32,0,2,2,2,1,1,1,5,13,-91,1,1,2,1,1,-91,1,4,4,2,14,-91,-1,1,1,1,2,2,1,-1,-9,464.95
NS23516A,6453.72,26530.92,2,1,2,1,1,2,1,14,16,1,2,2,1,0,1,2,0,0,2,3,0,5,1,1,1,2,1,1,3,39,3,2,2,2,2,2,2,1,11,-91,1,2,2,1,2,2,9,4,4,2,9,-91,0,1,1,1,2,4,2,300,3,464.82
NS24564R,6219.2,33219.2,2,1,2,0,1,2,1,15,15,1,2,2,1,0,0,1,0,0,2,1,0,2,1,1,3,2,2,-1,3,40,0,2,2,2,2,1,2,5,15,-91,1,1,2,2,1,-91,1,4,4,2,14,-91,0,1,1,1,2,7,1,-1,2,464.75
NS18837Q,25600,46600,1,1,2,1,1,2,1,6,4,1,1,1,1,0,1,1,0,0,2,2,0,2,1,1,-91,2,1,1,3,31,4,2,2,5,1,2,2,5,9,-91,2,2,2,1,2,2,9,4,4,2,10,-91,2,1,1,1,2,4,1,11000,2,464.35
NS11771Q,31500,-99,1,1,2,0,1,2,1,15,-99,1,1,1,1,0,0,1,0,0,2,1,0,-99,1,2,2,2,2,1,3,42,3,2,4,6,2,2,2,5,19,-91,1,1,2,1,2,2,9,4,4,2,5,-91,11,1,1,1,2,4,1,700,2,463.46
NS13999J,18000,-1,3,1,2,0,1,2,1,5,13,1,2,2,1,0,0,1,1,0,2,2,0,2,1,3,3,2,2,2,3,31,2,2,2,2,2,2,2,5,15,-91,1,1,2,2,2,2,9,4,4,2,16,-91,0,1,1,1,2,4,1,-1,2,461.82
NS18151H,-92,-92,1,1,2,2,1,2,1,15,19,1,1,1,1,0,2,1,0,0,2,3,0,2,1,3,5,2,2,2,3,37,0,2,1,5,2,2,2,5,17,-91,1,1,2,2,1,-91,9,4,4,2,9,-91,4,1,1,1,2,4,1,1000,1,461.39
NS25534D,6060.6,36300.6,2,1,2,0,1,2,1,15,15,1,2,2,1,0,0,1,0,0,2,1,0,3,1,1,1,1,1,1,3,37,3,2,3,2,1,2,2,5,11,-91,1,1,2,1,2,1,3,4,1,2,13,-91,10,1,2,1,2,5,4,-1,3,460.44
NS17444C,3785.6,45785.6,2,2,2,1,1,2,1,15,2,1,2,2,1,0,1,1,0,0,2,2,0,2,1,1,1,2,2,2,3,38,6,2,4,3,1,2,2,5,15,-91,1,1,2,1,2,1,4,4,2,2,12,-91,0,1,1,1,2,2,1,3300,1,460.26
NS11589P,12000,12000,2,1,2,0,1,5,1,15,-99,-99,2,2,-99,0,0,1,0,0,2,1,0,-99,1,2,2,2,1,1,3,38,0,2,2,2,2,2,2,5,15,-91,2,1,2,1,2,2,9,4,4,2,7,-91,0,1,1,1,2,4,1,-1,1,460.2
NS19634D,2691,39091,2,1,2,2,1,2,1,13,15,1,2,2,1,0,1,2,0,0,2,3,0,4,1,2,4,2,1,1,3,33,5,2,4,2,1,2,2,5,11,-91,2,1,2,2,1,-91,1,4,4,2,11,-91,1,2,1,1,2,2,1,20000,2,459.89
NS25111C,-1,-1,2,1,2,0,1,2,1,15,2,1,2,2,1,0,0,1,1,0,2,1,0,4,1,-1,5,2,2,1,3,33,3,2,2,4,1,2,2,5,11,-91,2,1,2,2,1,-91,1,4,4,2,13,-91,2,1,1,1,2,4,1,25000,2,459.89
NS21707V,4914,33714,2,1,2,0,1,2,1,15,7,1,2,2,1,0,0,1,1,0,2,2,0,1,1,1,2,2,1,2,3,36,6,2,4,2,2,2,2,5,13,-91,1,1,2,2,1,-91,1,4,4,2,17,-91,11,1,1,1,2,2,1,-1,2,459.7
NS18489G,7527,32527,2,1,2,1,1,2,1,15,15,1,2,2,1,0,1,1,0,0,2,2,0,4,1,1,2,2,1,2,3,42,0,2,1,5,2,2,2,5,15,-91,1,1,2,2,1,-91,1,4,4,2,13,-91,0,1,1,1,2,4,1,10000,2,459.46
