ches_interven,ches_redistribution,ches_sociallife,ches_civlib,ches_immigration,ches_environment,lrgen_3,lrecon_3,galtan_3
5.0,8.0,5.0,6.0,7.0,5.0,c,c,c
5.0,8.0,5.0,6.0,3.0,5.0,c,c,c
5.0,8.0,5.0,6.0,6.0,5.0,c,r,r
2.0,8.0,8.0,9.0,10.0,5.0,c,r,r
2.0,8.0,8.0,9.0,10.0,5.0,r,l,r
2.0,8.0,8.0,9.0,10.0,6.0,c,c,r
10.0,6.0,1.0,0.0,2.0,2.0,r,r,l
10.0,6.0,1.0,0.0,2.0,2.0,r,r,l
2.0,6.0,8.0,8.0,8.0,7.0,c,c,r
2.0,5.0,8.0,8.0,8.0,7.0,c,c,r
4.0,6.0,6.0,7.0,7.0,7.0,c,c,r
4.0,6.0,8.0,8.0,8.0,7.0,c,c,r
1.0,4.0,10.0,10.0,10.0,10.0,r,c,r
0.0,1.0,10.0,10.0,10.0,8.0,r,l,r
1.0,4.0,10.0,10.0,10.0,10.0,r,c,r
6.0,5.0,1.0,4.0,5.0,4.0,c,r,l
6.0,5.0,2.0,4.0,6.0,5.0,r,r,l
8.0,6.0,9.0,3.0,5.0,7.0,r,r,c
9.0,7.0,9.0,5.0,6.0,5.0,r,r,c
2.0,3.0,5.0,5.0,7.0,6.0,c,c,c
3.0,1.0,7.0,6.0,8.0,7.0,l,l,r
1.0,2.0,4.0,4.0,4.0,7.0,c,l,c
1.0,0.0,6.0,5.0,3.0,8.0,l,l,r
1.0,3.0,8.0,8.0,9.0,9.0,r,l,r
1.0,0.0,10.0,7.0,10.0,8.0,r,l,r
1.0,2.0,10.0,9.0,10.0,8.0,r,l,r
6.0,6.0,1.0,0.0,1.0,2.0,c,r,l
7.0,7.0,3.0,2.0,4.0,5.0,r,r,c
6.0,6.0,6.0,6.0,5.0,5.0,c,c,c
2.0,4.0,3.0,3.0,5.0,4.0,l,l,c
5.0,4.0,4.0,4.0,5.0,5.0,c,c,c
7.0,4.0,6.0,6.0,5.0,3.0,c,r,r
8.0,6.0,6.0,7.0,6.0,5.0,r,r,r
4.0,7.0,4.0,6.0,9.0,7.0,r,r,r
0.0,0.0,10.0,8.0,10.0,8.0,l,l,r
7.0,5.0,1.0,2.0,8.0,7.0,c,c,l
8.0,2.0,7.0,9.0,10.0,8.0,c,r,r
8.0,7.0,9.0,9.0,10.0,8.0,r,r,r
0.0,0.0,10.0,10.0,10.0,9.0,l,l,r
6.0,6.0,10.0,10.0,10.0,9.0,c,r,r
7.0,4.0,1.0,3.0,9.0,3.0,c,r,l
8.0,8.0,8.0,7.0,9.0,8.0,r,r,c
10.0,6.0,9.0,8.0,9.0,9.0,c,c,l
3.0,1.0,10.0,7.0,9.0,7.0,l,l,c
3.0,3.0,10.0,3.0,9.0,7.0,l,l,r
8.0,5.0,10.0,9.0,9.0,8.0,c,c,r
9.0,5.0,2.0,1.0,8.0,8.0,r,r,l
8.0,8.0,7.0,8.0,6.0,8.0,r,r,r
4.0,4.0,8.0,8.0,7.0,8.0,c,c,r
5.0,5.0,5.0,5.0,4.0,5.0,c,c,l
2.0,2.0,2.0,4.0,2.0,3.0,l,c,l
6.0,6.0,5.0,6.0,4.0,6.0,r,r,c
7.0,5.0,5.0,5.0,7.0,3.0,c,c,c
2.0,6.0,6.0,6.0,5.0,8.0,l,l,c
